# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
xia che 	下車	c=5 d=2.76917e-68 t=975297
xia che 	瞎扯	c=9 d=3.26391e-05 t=975297
xia che pi 	瞎扯皮	c=1 d=5.18089e-176 t=975297
xia chen 	下沉	c=2 d=1.74848e-44 t=975297
xia chu yue 	下初月	c=1 d=2.42424e-153 t=975297
xia ci 	下次	c=214 d=0.0620385 t=975297
xia ci 	瑕疵	c=1 d=1.09567e-16 t=975297
xia cuo 	下錯	c=1 d=6.34602e-92 t=975297
xia da 	下達	c=1 d=0 t=975297
xia da 	廈大	c=1 d=1.55298e-149 t=975297
xia dan 	下單	c=65 d=9.6259e-23 t=975297
xia dao 	嚇到	c=5 d=2.72625e-05 t=975297
xia dei wo 	嚇得我	c=1 d=1.93796e-78 t=975297
xia deng 	下等	c=1 d=0 t=975297
xia dian 	瞎點	c=1 d=1.56966e-157 t=975297
xia diao 	下掉	c=38 d=0.00230904 t=975297
xia die 	下跌	c=3 d=1.85117e-39 t=975297
xia dong 	下動	c=1 d=0 t=975297
xia fa 	下發	c=90 d=0.235746 t=975297
xia fan 	下飯	c=4 d=1.83781e-42 t=975297
xia fang 	下放	c=2 d=0 t=975297
xia fang 	下方	c=1 d=0 t=975297
xia fei ji 	下飛機	c=3 d=6.03819e-154 t=975297
xia gang 	下崗	c=1 d=0 t=975297
xia gao 	瞎搞	c=16 d=1.25742e-121 t=975297
xia gao su 	下高速	c=1 d=0 t=975297
xia ge 	下個	c=35 d=0.000165755 t=975297
xia ge ji du 	下個季度	c=2 d=3.48574e-102 t=975297
xia ge yue 	下個月	c=21 d=3.04435e-09 t=975297
xia gong fu 	下工夫	c=2 d=7.83104e-07 t=975297
xia guan zi 	下館子	c=10 d=1.59034e-17 t=975297
xia guang 	瞎逛	c=1 d=7.27988e-207 t=975297
xia guo 	下過	c=1 d=9.59288e-12 t=975297
xia guo 	下鍋	c=2 d=0.0106734 t=975297
xia hu 	嚇唬	c=2 d=1.23991e-118 t=975297
xia hua 	下滑	c=1 d=4.43365e-79 t=975297
xia hua xian 	下劃線	c=4 d=3.49015e-205 t=975297
xia huai 	嚇壞	c=1 d=1.73502e-12 t=975297
xia hui 	下回	c=2 d=0 t=975297
xia ji 	下級	c=1 d=0 t=975297
xia ji 	夏季	c=1 d=0 t=975297
xia jia 	下家	c=7 d=2.61436e-12 t=975297
xia jia 	下架	c=29 d=2.62747e-12 t=975297
xia jiang 	下降	c=9 d=3.85549e-141 t=975297
xia jiao 	下腳	c=1 d=1.51324e-50 t=975297
xia ka 	下卡	c=3 d=1.71626e-09 t=975297
xia kao lv 	下考慮	c=1 d=7.77301e-184 t=975297
xia ke 	下課	c=3 d=3.00407e-29 t=975297
xia la 	下拉	c=65 d=8.75738e-25 t=975297
xia la kuang 	下拉框	c=1 d=0 t=975297
xia la xuan 	下拉選	c=2 d=0 t=975297
xia lai 	下來	c=179 d=0.000405658 t=975297
xia lai la 	下來啦	c=1 d=0 t=975297
xia lai le 	下來了	c=2 d=2.82626e-164 t=975297
xia le 	下了	c=3 d=2.92684e-40 t=975297
xia le 	嚇了	c=1 d=1.16763e-176 t=975297
xia li qi 	下力氣	c=1 d=0 t=975297
xia liang bei 	夏涼被	c=3 d=5.46818e-17 t=975297
xia liao 	瞎聊	c=3 d=9.61319e-125 t=975297
xia lie 	下列	c=1 d=1.20738e-305 t=975297
xia ling 	下令	c=1 d=8.54585e-64 t=975297
xia lou 	下樓	c=8 d=6.36055e-207 t=975297
xia lou ti 	下樓梯	c=1 d=0 t=975297
xia mi 	蝦米	c=2 d=0 t=975297
xia mian 	下面	c=3 d=7.12815e-77 t=975297
xia ming zi 	下名字	c=1 d=1.42706e-66 t=975297
xia mo 	夏末	c=1 d=8.84695e-89 t=975297
xia nai 	下奶	c=0 d=2.52334e-96 t=975297
xia ne 	下呢	c=1 d=2.80807e-235 t=975297
xia pao 	嚇跑	c=1 d=3.93736e-06 t=975297
xia pao le 	嚇跑了	c=1 d=6.8349e-24 t=975297
xia pi 	下批	c=1 d=0 t=975297
xia pi 	蝦皮	c=3 d=9.57853e-104 t=975297
xia po 	下坡	c=1 d=1.16925e-16 t=975297
xia qi 	下期	c=33 d=8.48588e-40 t=975297
xia qu 	下去	c=41 d=4.77611e-13 t=975297
xia qu 	轄區	c=1 d=3.30193e-288 t=975297
xia qu le 	下去了	c=1 d=4.90379e-147 t=975297
xia qun 	蝦羣	c=0 d=0 t=975297
xia ren 	嚇人	c=9 d=1.22768e-44 t=975297
xia rou 	蝦肉	c=1 d=1.66451e-112 t=975297
xia sha 	下沙	c=1 d=0 t=975297
xia shi 	下市	c=1 d=2.24769e-87 t=975297
xia shou 	下手	c=20 d=7.45927e-23 t=975297
xia shu 	下屬	c=14 d=0 t=975297
xia shuang 	夏爽	c=3 d=0 t=975297
xia shui 	下水	c=7 d=1.36482e-12 t=975297
xia shui dao 	下水道	c=2 d=3.09649e-123 t=975297
xia shuo 	瞎說	c=2 d=1.55568e-140 t=975297
xia ta 	下榻	c=1 d=2.02221e-108 t=975297
xia tan 	下談	c=1 d=0 t=975297
xia tan 	瞎彈	c=1 d=2.38044e-115 t=975297
xia tian 	夏天	c=54 d=1.38399e-29 t=975297
xia tiao 	下調	c=9 d=2.03888e-24 t=975297
xia tiao 	瞎跳	c=1 d=0 t=975297
xia tou 	下頭	c=4 d=7.81323e-39 t=975297
xia tu 	下圖	c=12 d=4.02084e-65 t=975297
xia wan 	下完	c=1 d=0 t=975297
xia wen 	下文	c=19 d=1.4168e-40 t=975297
xia wen le 	下文了	c=1 d=2.38442e-164 t=975297
xia wo 	下我	c=1 d=0 t=975297
xia wo 	嚇我	c=7 d=2.87042e-23 t=975297
xia wu 	下午	c=511 d=0.000248168 t=975297
xia wu cha 	下午茶	c=17 d=2.1744e-285 t=975297
xia wu dao 	下午到	c=2 d=2.05543e-182 t=975297
xia wu guo lai 	下午過來	c=1 d=8.05621e-252 t=975297
xia wu hao 	下午好	c=4 d=5.77736e-17 t=975297
xia wu lai 	下午來	c=1 d=9.68843e-246 t=975297
xia xia 	下下	c=4 d=6.1927e-69 t=975297
xia xia 	夏夏	c=12 d=1.63593e-26 t=975297
xia xia zhou 	下下週	c=14 d=1.50887e-16 t=975297
xia xian 	下線	c=110 d=0.00772263 t=975297
xia xian 	下限	c=1 d=1.04728e-161 t=975297
xia xian 	蝦線	c=1 d=0 t=975297
xia xiang 	下鄉	c=1 d=3.20816e-302 t=975297
xia xiang 	瞎想	c=1 d=0 t=975297
xia xing 	下行	c=5 d=4.27239e-188 t=975297
xia xue 	下雪	c=6 d=4.3522e-08 t=975297
xia xun 	下旬	c=21 d=0.172045 t=975297
xia yi 	下一	c=0 d=3.83953e-152 t=975297
xia yi 	下移	c=2 d=6.86777e-51 t=975297
xia yi ban 	下一版	c=10 d=8.21163e-124 t=975297
xia yi bao 	下一包	c=2 d=4.44163e-12 t=975297
xia yi bo 	下一波	c=1 d=5.87252e-209 t=975297
xia yi bu 	下一步	c=28 d=3.43651e-23 t=975297
xia yi chang 	下一場	c=1 d=3.6641e-189 t=975297
xia yi ci 	下一次	c=1 d=8.96052e-92 t=975297
xia yi dai 	下一代	c=3 d=3.5204e-42 t=975297
xia yi ge 	下一個	c=11 d=7.57562e-58 t=975297
xia yi ge shi er 	下一個事兒	c=1 d=4.37079e-205 t=975297
xia yi ji 	下一級	c=1 d=0 t=975297
xia yi ji du 	下一季度	c=1 d=0 t=975297
xia yi jia 	下一家	c=1 d=3.38239e-189 t=975297
xia yi jie duan 	下一階段	c=2 d=1.04821e-142 t=975297
xia yi lun 	下一輪	c=5 d=4.4439e-18 t=975297
xia yi nian 	下一年	c=5 d=0 t=975297
xia yi pi 	下一批	c=2 d=2.63889e-298 t=975297
xia yi pian 	下一篇	c=3 d=1.90854e-192 t=975297
xia yi qi 	下一期	c=5 d=0 t=975297
xia yi tiao 	嚇一跳	c=2 d=4.9467e-220 t=975297
xia yi zhou 	下一週	c=1 d=1.79195e-127 t=975297
xia you 	下游	c=3 d=7.18778e-28 t=975297
xia yu 	下雨	c=54 d=1.37859e-08 t=975297
xia yu tian 	下雨天	c=1 d=1.94651e-306 t=975297
xia yue 	下月	c=15 d=4.30431e-64 t=975297
xia yue chu 	下月初	c=2 d=1.1583e-258 t=975297
xia yue di 	下月底	c=3 d=1.10101e-132 t=975297
xia yue lai 	下月來	c=1 d=0 t=975297
xia zai 	下載	c=483 d=0.0317909 t=975297
xia zai tiao 	下載條	c=14 d=2.85155e-60 t=975297
xia zang 	下葬	c=1 d=2.58326e-77 t=975297
xia zha 	下閘	c=1 d=0 t=975297
xia zha yi 	下閘一	c=1 d=0 t=975297
xia zhe teng 	瞎折騰	c=2 d=2.76051e-93 t=975297
xia zheng 	瞎整	c=1 d=4.83012e-116 t=975297
xia zhi 	夏至	c=5 d=3.07259e-59 t=975297
xia zhou 	下週	c=955 d=0.767252 t=975297
xia zhou er 	下週二	c=36 d=5.19956e-42 t=975297
xia zhou lai 	下週來	c=1 d=0 t=975297
xia zhou liu 	下週六	c=1 d=0 t=975297
xia zhou mo 	下週末	c=3 d=2.28857e-05 t=975297
xia zhou qi 	下週起	c=3 d=1.0586e-111 t=975297
xia zhou qu 	下週去	c=1 d=1.41599e-92 t=975297
xia zhou ri 	下週日	c=1 d=0 t=975297
xia zhou san 	下週三	c=23 d=1.97006e-36 t=975297
xia zhou si 	下週四	c=14 d=0.0611149 t=975297
xia zhou wu 	下週五	c=9 d=1.78786e-12 t=975297
xia zhou yi 	下週一	c=131 d=4.35063e-09 t=975297
xia zhua 	下爪	c=1 d=0 t=975297
xia zi 	瞎子	c=3 d=0 t=975297
xia zui 	下嘴	c=1 d=6.27433e-76 t=975297
xia zuo si 	瞎作死	c=1 d=2.0548e-149 t=975297
xian 	先	c=1234 d=1.88113 t=975297
xian 	冼	c=1 d=0 t=975297
xian 	嫌	c=1 d=8.26343e-52 t=975297
xian 	現	c=9 d=2.98533e-73 t=975297
xian 	線	c=220 d=2.08599e-16 t=975297
xian 	縣	c=1 d=0 t=975297
xian 	賢	c=2 d=1.57659e-151 t=975297
xian 	閒	c=36 d=2.25059e-14 t=975297
xian 	限	c=0 d=1.28286e-196 t=975297
xian 	險	c=34 d=0.631284 t=975297
xian 	顯	c=5 d=5.2545e-48 t=975297
xian ai 	腺癌	c=1 d=5.17346e-71 t=975297
xian ai xin 	獻愛心	c=1 d=6.49698e-192 t=975297
xian an 	先按	c=10 d=4.15404e-39 t=975297
xian an zhao 	先按照	c=1 d=0 t=975297
xian ba 	先把	c=69 d=1.57425e-15 t=975297
xian ban lai 	先搬來	c=1 d=6.28421e-212 t=975297
xian bang mang 	先幫忙	c=2 d=0 t=975297
xian bang wo 	先幫我	c=1 d=1.07991e-169 t=975297
xian bao chi 	先保持	c=1 d=1.13817e-52 t=975297
xian bao zheng 	現保證	c=2 d=7.96275e-203 t=975297
xian bie 	先別	c=9 d=2.57651e-105 t=975297
xian bie dong 	先別動	c=3 d=0 t=975297
xian bie gai 	先別改	c=1 d=0 t=975297
xian bie guan 	先別管	c=3 d=3.01502e-13 t=975297
xian bie shuo 	先別說	c=1 d=0 t=975297
xian bie zhao ji 	先別着急	c=1 d=0 t=975297
xian bu 	先不	c=1 d=1.21581e-93 t=975297
xian bu 	閒步	c=1 d=0 t=975297
xian bu dong 	先不懂	c=1 d=0 t=975297
xian bu gao 	先不搞	c=1 d=0 t=975297
xian bu guan 	先不管	c=6 d=1.49631e-94 t=975297
xian bu ji 	先不急	c=1 d=0 t=975297
xian bu lai 	先不來	c=2 d=8.64443e-279 t=975297
xian bu nong 	先不弄	c=1 d=4.93797e-258 t=975297
xian bu shuo 	先不說	c=6 d=1.46707e-78 t=975297
xian bu tan 	先不談	c=1 d=1.72861e-86 t=975297
xian bu yao 	先不要	c=3 d=6.17651e-97 t=975297
xian bu yao dong 	先不要動	c=1 d=0 t=975297
xian bu yong 	先不用	c=9 d=1.91275e-71 t=975297
xian bu yong guan 	先不用管	c=2 d=4.21772e-168 t=975297
xian bu zhao ji 	先不着急	c=2 d=5.66181e-44 t=975297
xian bu zhu 	閒不住	c=1 d=0 t=975297
xian bu zuo 	先不做	c=2 d=5.35774e-71 t=975297
xian ce 	獻策	c=1 d=0 t=975297
xian chang 	現場	c=200 d=0.792407 t=975297
xian che 	先撤	c=6 d=5.27096e-26 t=975297
xian cheng 	現成	c=73 d=0.0026852 t=975297
xian cheng 	線程	c=3 d=2.3717e-13 t=975297
xian cheng 	縣城	c=1 d=1.37639e-170 t=975297
xian cheng duo 	仙橙多	c=1 d=1.28662e-200 t=975297
xian chi 	先吃	c=14 d=0.0168231 t=975297
xian chi fan 	先吃飯	c=4 d=5.09053e-28 t=975297
xian chi xie 	先吃些	c=1 d=0 t=975297
xian chou 	獻醜	c=1 d=3.01556e-162 t=975297
xian chou chou 	先瞅瞅	c=1 d=5.46911e-19 t=975297
xian chu 	先出	c=1 d=0 t=975297
xian chu 	現出	c=3 d=0 t=975297
xian chu li 	先處理	c=3 d=9.61975e-249 t=975297
xian cong 	先從	c=14 d=1.14338e-135 t=975297
xian cun 	現存	c=17 d=0.0880368 t=975297
xian da gai 	先大概	c=1 d=0 t=975297
xian dai 	現代	c=15 d=0.0335406 t=975297
xian dai hua 	現代化	c=1 d=0 t=975297
xian dao 	先到	c=7 d=5.31759e-12 t=975297
xian de 	先得	c=1 d=2.16063e-159 t=975297
xian de 	顯得	c=15 d=2.84485e-06 t=975297
xian de dan teng 	閒的蛋疼	c=5 d=8.21129e-06 t=975297
xian de dan teng 	顯得蛋疼	c=2 d=1.89018e-49 t=975297
xian de mei shi 	閒的沒事	c=1 d=0 t=975297
xian de ni 	先得你	c=1 d=2.10317e-158 t=975297
xian de wo 	顯得我	c=1 d=0 t=975297
xian dei 	先得	c=3 d=0 t=975297
xian dei 	顯得	c=1 d=0 t=975297
xian deng yi xia 	先等一下	c=1 d=0 t=975297
xian ding 	限定	c=3 d=3.72922e-161 t=975297
xian ding xia 	先定下	c=1 d=7.79969e-48 t=975297
xian dong 	掀動	c=1 d=8.91526e-150 t=975297
xian du 	限度	c=1 d=1.73143e-17 t=975297
xian e 	限額	c=1 d=1.35742e-95 t=975297
xian er 	餡兒	c=5 d=2.76465e-141 t=975297
xian er bing 	餡兒餅	c=2 d=3.73509e-297 t=975297
xian fa 	先發	c=3 d=0 t=975297
xian fan hui 	先返回	c=1 d=0 t=975297
xian fang 	現房	c=2 d=1.04458e-90 t=975297
xian feng 	先鋒	c=2 d=7.58521e-161 t=975297
xian feng 	顯峯	c=9 d=0 t=975297
xian feng dui 	先鋒隊	c=3 d=0 t=975297
xian gai 	先改	c=5 d=1.72808e-53 t=975297
xian gai diao 	先改掉	c=1 d=5.04201e-268 t=975297
xian gan 	先幹	c=4 d=3.45797e-08 t=975297
xian gan huo 	先幹活	c=2 d=2.46891e-15 t=975297
xian gao 	先搞	c=9 d=6.46693e-20 t=975297
xian gao ding 	先搞定	c=1 d=0 t=975297
xian gao zhe 	先搞着	c=1 d=1.01225e-55 t=975297
xian gei 	先給	c=3 d=1.39923e-99 t=975297
xian gei 	獻給	c=1 d=0 t=975297
xian gei chu 	先給出	c=1 d=0 t=975297
xian gei ni 	先給你	c=2 d=0 t=975297
xian gei ta 	先給他	c=2 d=1.31784e-126 t=975297
xian gei wo men 	先給我們	c=1 d=7.63095e-26 t=975297
xian gei xia 	先給下	c=1 d=0 t=975297
xian gen 	先跟	c=10 d=2.20821e-55 t=975297
xian gen ni 	先跟你	c=2 d=2.71212e-179 t=975297
xian gen wo zhe bian 	先跟我這邊	c=1 d=0 t=975297
xian gou 	限購	c=1 d=0 t=975297
xian guan 	縣官	c=1 d=9.83676e-72 t=975297
xian guan cha 	先觀察	c=1 d=1.62922e-154 t=975297
xian guan diao 	先關掉	c=1 d=0 t=975297
xian guang 	閒逛	c=1 d=3.60648e-179 t=975297
xian gui hua 	先規劃	c=3 d=9.38605e-160 t=975297
xian guo 	鮮果	c=1 d=1.12862e-189 t=975297
xian guo qu 	先過去	c=1 d=0 t=975297
xian ha 	先哈	c=1 d=1.72668e-161 t=975297
xian he 	仙鶴	c=7 d=9.43418e-186 t=975297
xian he 	先河	c=1 d=0 t=975297
xian he men 	仙鶴們	c=1 d=4.78663e-186 t=975297
xian hou 	先後	c=9 d=5.71543e-96 t=975297
xian hu lve 	先忽略	c=1 d=3.117e-22 t=975297
xian hua 	鮮花	c=1 d=4.52615e-116 t=975297
xian hui 	賢惠	c=1 d=0 t=975297
xian hui 	顯灰	c=1 d=2.09232e-156 t=975297
xian hui jia 	先回家	c=1 d=0 t=975297
xian hui lai 	先回來	c=1 d=1.47328e-88 t=975297
xian hui qu 	先回去	c=4 d=1.22661e-50 t=975297
xian huo 	現貨	c=2 d=5.10396e-294 t=975297
xian huo qu 	先獲取	c=1 d=1.75935e-205 t=975297
xian ji xian ce 	獻計獻策	c=1 d=0 t=975297
xian jian 	鮮見	c=1 d=0 t=975297
xian jian zhi ming 	先見之明	c=0 d=3.11276e-07 t=975297
xian jiang 	先將	c=1 d=6.21976e-179 t=975297
xian jiang 	現將	c=1 d=7.57667e-89 t=975297
xian jiang zi 	先醬紫	c=1 d=4.47306e-183 t=975297
xian jie duan 	現階段	c=44 d=2.11261e-05 t=975297
xian jie jue 	先解決	c=2 d=0 t=975297
xian jie shao 	先介紹	c=1 d=7.16958e-292 t=975297
xian jin 	先進	c=3 d=3.02221e-41 t=975297
xian jin 	現金	c=73 d=2.51143e-11 t=975297
xian jin 	陷進	c=0 d=1.75546e-180 t=975297
xian jin liu 	現金流	c=6 d=2.08034e-206 t=975297
xian jin qu 	陷進去	c=1 d=1.76426e-179 t=975297
xian jin quan 	現金券	c=2 d=2.52402e-10 t=975297
xian jin xing 	先進性	c=5 d=5.55968e-247 t=975297
xian jing 	陷阱	c=1 d=1.04146e-213 t=975297
xian jiu 	現就	c=6 d=2.15912e-114 t=975297
xian jue 	先決	c=1 d=0 t=975297
xian ka 	顯卡	c=3 d=4.39646e-24 t=975297
xian kai 	先開	c=4 d=3.88261e-194 t=975297
xian kai zhe 	先開着	c=1 d=0 t=975297
xian kan 	先看	c=17 d=2.52171e-58 t=975297
xian kan ba 	先看吧	c=2 d=0 t=975297
xian kan kan 	先看看	c=5 d=3.86666e-175 t=975297
xian kan qing kuang 	先看情況	c=1 d=0 t=975297
xian kan xia 	先看下	c=11 d=1.4437e-26 t=975297
xian kan zhe 	先看着	c=4 d=1.11823e-138 t=975297
xian la 	先拉	c=2 d=0 t=975297
xian lai 	先來	c=13 d=2.21491e-120 t=975297
xian lai 	閒來	c=1 d=0 t=975297
xian lian xi 	先聯繫	c=1 d=0 t=975297
xian liang 	限量	c=1 d=2.20431e-94 t=975297
xian liao 	先聊	c=10 d=9.43499e-52 t=975297
xian liao 	閒聊	c=7 d=9.35254e-37 t=975297
xian liao jie 	先瞭解	c=1 d=7.81438e-217 t=975297
xian liao zhe 	先聊着	c=1 d=2.53402e-174 t=975297
xian lie 	先烈	c=1 d=1.73108e-44 t=975297
xian liu 	限流	c=3 d=0 t=975297
xian liu zhe 	先留着	c=2 d=2.69685e-142 t=975297
xian lu 	線路	c=20 d=1.88043e-47 t=975297
xian lu 	顯露	c=4 d=5.35146e-134 t=975297
xian luo 	暹羅	c=1 d=2.01658e-134 t=975297
xian mai 	現買	c=1 d=8.52116e-30 t=975297
xian mang 	先忙	c=16 d=6.30706e-49 t=975297
xian mian 	現面	c=18 d=0.000211772 t=975297
xian mu 	羨慕	c=24 d=9.8421e-49 t=975297
xian na 	先拿	c=3 d=2.63589e-79 t=975297
xian na qu 	先拿去	c=1 d=0 t=975297
xian na zhe 	先拿着	c=1 d=0 t=975297
xian nai 	鮮奶	c=2 d=4.54139e-38 t=975297
xian nei zhu 	賢內助	c=1 d=1.51216e-71 t=975297
xian nong 	先弄	c=2 d=1.61625e-60 t=975297
xian nong 	先農	c=2 d=0 t=975297
xian nong chu lai 	先弄出來	c=1 d=0 t=975297
xian nv 	仙女	c=2 d=0 t=975297
xian pao 	先跑	c=1 d=1.48683e-225 t=975297
xian pao tong 	先跑通	c=1 d=0 t=975297
xian pei he 	先配合	c=1 d=2.56e-147 t=975297
xian ping gu 	先評估	c=1 d=0 t=975297
xian qi 	嫌棄	c=2 d=2.48509e-33 t=975297
xian qi 	掀起	c=2 d=1.35272e-113 t=975297
xian qi 	賢妻	c=3 d=1.36604e-140 t=975297
xian qi dong 	先啓動	c=1 d=9.4746e-160 t=975297
xian qian 	先前	c=35 d=2.03201e-17 t=975297
xian qian 	閒錢	c=2 d=2.03962e-150 t=975297
xian qu 	先去	c=50 d=2.02172e-17 t=975297
xian qu 	先驅	c=5 d=5.20327e-21 t=975297
xian que ren 	先確認	c=2 d=0 t=975297
xian ran 	顯然	c=6 d=3.4453e-53 t=975297
xian rang 	先讓	c=5 d=1.44632e-106 t=975297
xian ren 	先人	c=3 d=9.36529e-53 t=975297
xian ren 	現任	c=3 d=2.03691e-105 t=975297
xian ren 	閒人	c=2 d=2.36552e-188 t=975297
xian ren qiu 	仙人球	c=1 d=4.93824e-53 t=975297
xian ren tiao 	仙人跳	c=1 d=0 t=975297
xian rou 	鮮肉	c=1 d=5.14645e-127 t=975297
xian rou 	鹹肉	c=2 d=1.51662e-29 t=975297
xian ru 	陷入	c=9 d=8.55049e-41 t=975297
xian ru jin 	現如今	c=2 d=8.72888e-78 t=975297
xian san 	閒散	c=1 d=0 t=975297
xian sen 	先森	c=21 d=5.77318e-05 t=975297
xian shang 	先上	c=3 d=5.69522e-25 t=975297
xian shang 	獻上	c=1 d=0 t=975297
xian shang 	線上	c=501 d=0.010223 t=975297
xian shang hui gui 	線上回歸	c=1 d=0 t=975297
xian shang hui yi 	線上會議	c=1 d=1.28788e-94 t=975297
xian shang xian 	先上線	c=1 d=0 t=975297
xian shen qing 	先申請	c=3 d=2.88668e-60 t=975297
xian sheng 	先生	c=20 d=1.80356e-23 t=975297
xian sheng ji 	先升級	c=1 d=5.13595e-103 t=975297
xian shi 	先是	c=4 d=1.24312e-119 t=975297
xian shi 	現實	c=54 d=0.00280879 t=975297
xian shi 	限時	c=3 d=2.58397e-139 t=975297
xian shi 	顯示	c=174 d=0.000302025 t=975297
xian shi ba 	顯示吧	c=1 d=0 t=975297
xian shi gou 	限時購	c=58 d=1.06274e-10 t=975297
xian shi qi 	顯示器	c=67 d=8.48471e-09 t=975297
xian shi qing kuang 	現實情況	c=1 d=1.58431e-178 t=975297
xian shi shi 	現實是	c=1 d=2.19399e-126 t=975297
xian shi xian 	先實現	c=1 d=0 t=975297
xian shi zhong 	現實中	c=1 d=4.20196e-124 t=975297
xian shou 	纖手	c=1 d=0 t=975297
xian shou dong 	先手動	c=1 d=5.76918e-206 t=975297
xian shu xi 	先熟悉	c=2 d=0 t=975297
xian shua 	線刷	c=2 d=0 t=975297
xian shui ba 	先睡吧	c=1 d=0 t=975297
xian shuo 	先說	c=15 d=4.82648e-19 t=975297
xian shuo ha 	先說哈	c=1 d=0 t=975297
xian su 	限速	c=1 d=0 t=975297
xian suo 	線索	c=3 d=0 t=975297
xian ti ce 	先提測	c=1 d=0 t=975297
xian tiao 	線條	c=1 d=0 t=975297
xian tiao zheng 	先調整	c=1 d=0 t=975297
xian ting ting 	線聽聽	c=1 d=6.56946e-293 t=975297
xian tong yi 	先統一	c=1 d=4.83454e-68 t=975297
xian tou jian li guo lai 	先投簡歷過來	c=1 d=1.38132e-212 t=975297
xian tu 	線圖	c=1 d=0 t=975297
xian wai 	縣外	c=1 d=0 t=975297
xian wan cheng 	先完成	c=1 d=0 t=975297
xian wan wan 	先玩玩	c=1 d=7.96139e-201 t=975297
xian wang 	先往	c=1 d=0 t=975297
xian wei 	纖維	c=0 d=8.67149e-119 t=975297
xian wen wen 	先問問	c=1 d=0 t=975297
xian xia 	線下	c=66 d=1.85508e-05 t=975297
xian xia dian 	線下店	c=6 d=3.72162e-137 t=975297
xian xiang 	現象	c=16 d=4.83207e-62 t=975297
xian xie 	先寫	c=3 d=4.21468e-42 t=975297
xian xie dao 	先寫到	c=1 d=7.28336e-242 t=975297
xian xing 	先行	c=15 d=8.06189e-84 t=975297
xian xing 	現行	c=1 d=2.68514e-179 t=975297
xian xing 	線性	c=2 d=6.07729e-214 t=975297
xian xing 	限行	c=1 d=0 t=975297
xian xing zhe 	先行者	c=1 d=3.72312e-83 t=975297
xian xiu xi 	先休息	c=2 d=5.37165e-219 t=975297
xian xuan ze 	先選擇	c=2 d=3.93644e-62 t=975297
xian xue 	獻血	c=1 d=5.85712e-90 t=975297
xian xue 	現學	c=10 d=5.6328e-13 t=975297
xian xue hui 	現學會	c=1 d=0 t=975297
xian xue xian yong 	現學現用	c=1 d=0 t=975297
xian yan 	顯眼	c=5 d=5.11414e-53 t=975297
xian yang 	咸陽	c=3 d=4.71935e-32 t=975297
xian yao 	先要	c=1 d=0 t=975297
xian yi 	嫌疑	c=7 d=0.00182715 t=975297
xian yi 	現已	c=7 d=1.02149e-95 t=975297
xian yong 	先用	c=47 d=9.83405e-10 t=975297
xian yong zhe 	先用着	c=8 d=5.37287e-16 t=975297
xian you 	先有	c=5 d=4.5212e-15 t=975297
xian you 	先由	c=1 d=0 t=975297
xian you 	現有	c=243 d=0.392256 t=975297
xian you hua 	先優化	c=1 d=1.25484e-53 t=975297
xian yu 	先於	c=3 d=5.99946e-49 t=975297
xian yu 	限於	c=15 d=1.75515e-30 t=975297
xian yu 	陷於	c=3 d=1.41777e-48 t=975297
xian yu 	鹹魚	c=30 d=2.97579e-06 t=975297
xian yu ba 	鹹魚吧	c=1 d=1.48691e-20 t=975297
xian yu shang 	鹹魚上	c=1 d=1.18807e-233 t=975297
xian za cheng 	閒紮成	c=1 d=3.27517e-163 t=975297
xian zai 	先在	c=4 d=1.66761e-132 t=975297
xian zai 	現在	c=4247 d=1.09812 t=975297
xian zai 	閒在	c=2 d=8.26879e-88 t=975297
xian zai shi 	現在是	c=3 d=8.57763e-137 t=975297
xian zai shuo 	現在說	c=1 d=9.14532e-185 t=975297
xian zai yi jing 	現在已經	c=1 d=6.1105e-147 t=975297
xian zan shi 	先暫時	c=1 d=0 t=975297
xian zan ting 	先暫停	c=1 d=0 t=975297
xian zha 	鮮榨	c=1 d=1.45094e-26 t=975297
xian zhao 	先找	c=5 d=1.92312e-17 t=975297
xian zhe 	閒着	c=7 d=3.46684e-185 t=975297
xian zhe me 	先這麼	c=1 d=6.69555e-252 t=975297
xian zhe yang 	先這樣	c=25 d=6.20787e-39 t=975297
xian zheng li 	先整理	c=1 d=0 t=975297
xian zhi 	閒置	c=24 d=5.49056e-65 t=975297
xian zhi 	限制	c=195 d=7.05424e-08 t=975297
xian zhong 	險種	c=8 d=0 t=975297
xian zhu 	顯著	c=9 d=2.95257e-140 t=975297
xian zhuan bian 	先轉變	c=1 d=6.46301e-101 t=975297
xian zhuang 	現狀	c=62 d=0.0102549 t=975297
xian zhun bei 	先準備	c=2 d=0 t=975297
xian zhun bei xia 	先準備下	c=1 d=1.90128e-206 t=975297
xian zi xing 	先自行	c=1 d=0 t=975297
xian zou 	先走	c=9 d=4.08568e-88 t=975297
xian zou la 	先走啦	c=1 d=3.58788e-177 t=975297
xian zu che 	先租車	c=1 d=0 t=975297
xian zui zi 	嫌嘴子	c=1 d=8.30485e-51 t=975297
xian zuo 	先做	c=10 d=9.25859e-124 t=975297
xiang 	像	c=224 d=0.085435 t=975297
xiang 	向	c=114 d=0.115325 t=975297
xiang 	想	c=733 d=0.272532 t=975297
